age,box_ddpm,box_odpm,d_dpm,d_dpm_rank,dpm,dpm_rank,nba_id,o_dpm,o_dpm_rank,on_off_ddpm,on_off_odpm,player_name,season,team_name,tm_id
26.4,0.86,-0.64,0.76,45,0.11,94,248,-0.65,184,0.45,-0.71,George Lynch,1997,Memphis Grizzlies,1610612763
29.2,-0.12,0.07,-0.38,224,-0.46,133,251,-0.07,126,-1,-0.62,Sean Elliott,1997,San Antonio Spurs,1610612759
33.9,-0.45,3.47,-0.26,191,2.98,9,252,3.23,5,-0.1,2.9,Karl Malone,1997,Utah Jazz,1610612762
24.6,0,2.21,0.56,61,3.2,8,255,2.64,10,1.14,3.36,Grant Hill,1997,Detroit Pistons,1610612765
25.1,-0.2,-1.62,-0.21,174,-1.85,279,258,-1.64,303,-0.24,-1.84,Brian Grant,1997,Sacramento Kings,1610612758
35.2,0.18,-2.2,0.21,98,-1.96,294,262,-2.17,364,0.3,-2.06,Michael Cage,1997,Philadelphia 76ers,1610612755
31.8,0.45,-2.66,0.28,83,-2.05,308,265,-2.33,381,-0.04,-1.32,Harvey Grant,1997,Washington Wizards,1610612764
31.8,1.12,0.58,1.18,22,1.71,26,270,0.53,80,1.26,0.43,Horace Grant,1997,Orlando Magic,1610612753
33.4,-0.55,-0.84,-0.53,277,-1.38,223,271,-0.85,207,-0.51,-0.88,Johnny Newman,1997,Milwaukee Bucks,1610612749
32.1,-0.68,-1.42,-0.6,298,-2.07,311,273,-1.47,282,-0.37,-1.71,Duane Ferrell,1997,Indiana Pacers,1610612754
26.1,-2.3,1.24,-1.6,435,-0.75,153,275,0.85,57,-0.88,0.18,Allan Houston,1997,New York Knicks,1610612752
28.8,0.25,-1.45,0.27,85,-1.22,202,278,-1.49,285,0.32,-1.69,Stacey Augmon,1997,Portland Trail Blazers,1610612757
40.2,0.11,-2.32,0.09,117,-2.25,338,279,-2.34,382,-0.34,-3.26,Charles Jones,1997,Houston Rockets,1610612745
29.3,0.22,-3.06,0.34,79,-2.55,365,280,-2.9,422,0.6,-2.37,Felton Spencer,1997,Golden State Warriors,1610612744
29.1,0.29,-2.35,0.26,87,-1.9,287,281,-2.15,361,0.18,-1.4,Scott Williams,1997,Philadelphia 76ers,1610612755
26.4,-0.63,0.22,-0.46,252,-0.04,99,283,0.43,87,-0.29,0.79,Lindsey Hunter,1997,Detroit Pistons,1610612765
30.9,-0.74,-2.55,-0.73,324,-3.27,428,287,-2.54,398,-0.63,-2.18,Eric Leckner,1997,Memphis Grizzlies,1610612763
32.9,0.12,-1.23,0.2,100,-1.22,202,288,-1.42,275,0.32,-1.93,Armen Gilliam,1997,Milwaukee Bucks,1610612749
34.2,0.02,-2.25,-0.02,139,-2.29,342,291,-2.27,377,-0.43,-2.65,Ed Pinckney,1997,Miami Heat,1610612748
25.1,-0.42,-1.57,-0.42,235,-1.99,297,292,-1.57,295,-0.86,-0.93,Anthony Miller,1997,Atlanta Hawks,1610612737
31.8,-0.03,-2.55,-0.01,136,-2.52,363,293,-2.51,396,0.21,-1.9,Charles Smith,1997,San Antonio Spurs,1610612759
27.7,0.74,0.8,0.46,69,1.16,46,296,0.69,66,0.15,0.5,Rick Fox,1997,Boston Celtics,1610612738
27.3,1.26,-0.53,1.79,10,1.29,41,297,-0.49,168,2.37,-0.41,Alonzo Mourning,1997,Miami Heat,1610612748
24.3,-0.4,0.88,-0.6,298,0.23,82,299,0.83,58,-0.79,0.73,Glenn Robinson,1997,Milwaukee Bucks,1610612749
30.2,0.17,1.59,0.68,50,2.54,16,302,1.86,24,1.15,2.29,Mookie Blaylock,1997,Atlanta Hawks,1610612737
35.2,1.05,3.45,0.82,39,4.08,3,304,3.26,3,0.61,2.99,John Stockton,1997,Utah Jazz,1610612762
43.8,0.07,-3.07,-0.01,136,-3.08,415,305,-3.07,440,-0.6,-3.06,Robert Parish,1997,Chicago Bulls,1610612741
24.3,-0.6,-3.03,-0.6,298,-3.62,437,308,-3.02,434,-0.87,-1.58,Derrick Alston,1997,Atlanta Hawks,1610612737
25.8,0.22,-0.36,0.09,117,-0.32,123,310,-0.42,161,-0.55,-0.9,Bobby Hurley,1997,Sacramento Kings,1610612758
26.8,-1.58,-2.49,-1.53,429,-3.99,450,316,-2.46,391,-0.81,-1.73,Richard Manning,1997,Los Angeles Clippers,1610612746
31.8,-1,1.07,-0.47,255,0.46,70,317,0.93,53,0.24,0.61,John Starks,1997,New York Knicks,1610612752
